370	172	453
72	537	916
963	79	757
291	494	198
90	837	324
838	529	322
987	349	203
306	419	874
753	617	489
865	826	181
601	498	208
84	374	766
27	226	204
448	229	399
545	123	339
786	484	300
185	248	106
395	496	243
439	814	458
378	664	288
721	807	434
937	40	996
706	246	964
955	727	628
144	594	699
27	770	405
17	325	713
872	349	879
484	427	534
426	19	788
173	468	998
507	72	694
72	724	29
916	211	531
257	807	513
870	534	781
804	778	312
554	648	719
727	733	613
908	663	655
464	372	743
445	935	39
970	622	21
406	326	187
358	960	133
104	92	543
474	864	465
179	761	834
965	610	545
53	617	719
871	546	280
156	863	678
142	165	727
138	622	968
822	730	654
170	484	660
925	416	312
613	926	575
249	563	224
581	127	439
816	214	543
520	532	105
731	285	275
998	425	409
223	706	744
733	631	804
388	70	217
463	320	990
548	333	225
177	80	55
227	392	407
194	386	608
614	74	305
902	694	607
520	134	588
463	110	189
638	198	564
165	658	717
441	141	132
788	126	538
580	649	401
311	824	252
720	361	559
371	321	580
812	169	773
629	692	313
407	835	449
331	908	102
221	960	251
785	228	792
204	255	759
500	209	368
506	99	652
618	485	447
891	697	917
535	448	35
172	752	989
450	359	615
873	742	198
132	124	286
495	840	462
652	244	56
453	604	801
250	400	319
349	748	177
876	474	346
416	132	248
620	118	148
514	740	181
434	794	619
818	348	244
956	265	652
884	504	205
99	431	90
161	649	914
66	459	886
659	675	409
308	918	476
207	282	505
735	639	392
598	567	671
670	340	279
121	469	586
21	143	77
617	631	331
261	122	523
78	572	786
585	901	944
233	992	864
292	459	301
437	987	647
371	5	295
890	996	288
899	713	564
476	789	776
564	476	565
237	575	634
507	866	373
678	602	862
451	766	230
129	782	510
146	48	270
989	143	206
450	359	855
367	359	189
159	546	3
408	585	885
357	736	550
768	373	68
738	203	103
111	415	535
665	328	268
915	951	944
517	442	886
64	212	879
567	621	430
107	923	814
848	443	466
434	576	204
555	363	479
378	653	11
394	556	953
389	725	967
486	661	455
626	780	844
773	27	898
292	769	640
190	916	918
286	741	684
618	647	70
912	459	156
444	301	4
399	89	286
116	374	580
460	320	156
439	206	148
33	696	279
866	443	683
646	347	919
859	988	314
240	28	161
200	60	89
841	544	864
861	88	508
3	276	76
478	956	541
702	916	353
41	167	961
689	167	309
642	380	343
803	449	432
62	815	569
3	660	257
340	815	149
562	786	888
312	826	216
870	511	660
153	144	450
877	98	926
194	718	89
790	919	264
755	144	131
484	612	929
656	182	53
85	190	177
641	706	905
621	515	104
153	603	779
373	832	206
752	720	14
446	252	158
173	903	725
79	476	636
61	548	523
300	398	328
244	939	790
483	652	950
201	511	909
232	126	156
459	985	5
487	323	127
558	521	604
986	580	585
432	352	891
164	892	471
154	135	975
653	153	744
418	166	243
426	49	955
716	602	736
440	992	334
313	209	297
210	53	990
626	485	144
125	960	524
113	391	735
799	27	112
467	793	883
149	933	563
879	514	752
793	112	434
775	266	996
426	426	696
635	753	304
849	361	806
195	374	971
325	841	812
423	362	394
749	579	128
647	177	945
348	759	439
735	417	603
146	442	609
358	309	102
486	405	138
389	808	90
61	309	971
766	490	368
963	982	138
12	636	127
660	174	534
87	242	97
32	706	136
72	131	26
572	249	535
547	51	679
659	71	353
710	658	550
999	23	71
696	223	722
388	177	808
379	794	587
866	466	278
341	683	221
685	262	729
906	556	638
217	942	973
994	153	853
578	988	335
977	307	265
